Name,Canonical Name,uule
Alabama,"Alabama,United States",w+CAIQIFISCXX-Sx80f4aIEenMyFM1NFVe
Alaska,"Alaska,United States",w+CAIQIFISCRvArsCc3wBUETXbiqknXtu8
Arizona,"Arizona,United States",w+CAIQIFISCWsYTMvrCCuHEXHNwX-xJzlC
Arkansas,"Arkansas,United States",w+CAIQIFISCWEnP3Q_ntKHEdDS3_8-aQWk
California,"California,United States",w+CAIQIFISCT1eKF_-uY-AEVVvCCeiCVGL
Colorado,"Colorado,United States",w+CAIQIFISCbdWGJt0FECHEf-nkEkxg1TH
Connecticut,"Connecticut,United States",w+CAIQIFISCaVREfIRU-aJEeVwYQVbbZqu
Delaware,"Delaware,United States",w+CAIQIFISCTvWDE12BceJEXjoBIwSLR2U
District of Columbia,"District of Columbia,United States",w+CAIQIFISCVvk9lrexreJEZihVALAjuLW
Florida,"Florida,United States",w+CAIQIFISCb8qVpFldsGIEdBOx1vTEy73
Georgia,"Georgia,United States",w+CAIQIFISCVeBXx3FNvGIEecQT-wQvIRm
Hawaii,"Hawaii,United States",w+CAIQIFISCQXgeU8G2_97ESiGzHTSgndL
Idaho,"Idaho,United States",w+CAIQIFISCemZ5IWo_1hTEViH9xUFMGvQ
Illinois,"Illinois,United States",w+CAIQIFISCRkmbm84LQuIEVZZEWRQghV_
Indiana,"Indiana,United States",w+CAIQIFISCR0b-Nm8UGuIEXLsMsvOLxB-
Iowa,"Iowa,United States",w+CAIQIFISCRlg-PFvXu6HEdlZx1dKY-_G
Kansas,"Kansas,United States",w+CAIQIFISCWsBfHFxF6OHEV8JPkuptMJo
Kentucky,"Kentucky,United States",w+CAIQIFISCclTGYtMc0KIEfzfzMVObx93
Louisiana,"Louisiana,United States",w+CAIQIFISCWWCEbJUpCCGEQNH5YEy91XJ
Maine,"Maine,United States",w+CAIQIFISCdWKUx3eHbBMEdCoIGdvzHnW
Maryland,"Maryland,United States",w+CAIQIFISCd-Q8enrTbaJEbH2VXZlN6_y
Massachusetts,"Massachusetts,United States",w+CAIQIFISCf2_c-ltZeOJERwNg1U20MZF
Michigan,"Michigan,United States",w+CAIQIFISCREEysc9qkxNEbPJYnpZSN2X
Minnesota,"Minnesota,United States",w+CAIQIFISCZsLeGCaW1hNEQ-i_hCbyaIC
Mississippi,"Mississippi,United States",w+CAIQIFISCRnUSuTkMiiGEdqm3Ol_Fw1i
Missouri,"Missouri,United States",w+CAIQIFISCX3jIkjV5sCHEXK9ZgRZxFu1
Montana,"Montana,United States",w+CAIQIFISCdOKey2cK0FTERhsKs9Y1nH1
Nebraska,"Nebraska,United States",w+CAIQIFISCe38DLXIjZOHEcQK8w8MkCeh
Nevada,"Nevada,United States",w+CAIQIFISCXG03vihCpmAEbOV_KqKA0fP
New Hampshire,"New Hampshire,United States",w+CAIQIFISCeumwJ1LRLNMEeuApiWvAsjX
New Jersey,"New Jersey,United States",w+CAIQIFISCZ9AAJ6V-8CJEY1tP_gHe9Is
New Mexico,"New Mexico,United States",w+CAIQIFISCalSmOdDUBiHEbqeNWMabr9G
New York,"New York,United States",w+CAIQIFISCamlI_HwS8xMEWeVGN7Bxs_d
North Carolina,"North Carolina,United States",w+CAIQIFISCYEaOPzEH1SIERmuIun1MD-t
North Dakota,"North Dakota,United States",w+CAIQIFISCWPp2FcSg9dSEcnPXoM5moQN
Ohio,"Ohio,United States",w+CAIQIFISCcGOTbV66TaIERbZn5w5ZM3l
Oklahoma,"Oklahoma,United States",w+CAIQIFISCZ1PrLEROayHEUjqCkAzzxxd
Oregon,"Oregon,United States",w+CAIQIFISCVVqn5t8bpNUEXa4C3rbZUx9
Pennsylvania,"Pennsylvania,United States",w+CAIQIFISCYnlMh4mgC2IET20IlBHIUbC
Rhode Island,"Rhode Island,United States",w+CAIQIFISCQ_XDmIUNeSJEecGwee8GE4e
South Carolina,"South Carolina,United States",w+CAIQIFISCePRMXlppfiIEZ4XBfUyof-5
South Dakota,"South Dakota,United States",w+CAIQIFISCaU46YUtQ32HEbekhjEp1vAH
Tennessee,"Tennessee,United States",w+CAIQIFISCQPPl54jS2GIEVaRgaXBID4D
Texas,"Texas,United States",w+CAIQIFISCUkyggs2cECGETzeCBiPHOsW
Utah,"Utah,United States",w+CAIQIFISCc35E4_Ha0yHET9G12ylSt-9
Vermont,"Vermont,United States",w+CAIQIFISCf_O2khs3LRMEbRrVDZ0iU0m
Virginia,"Virginia,United States",w+CAIQIFISCc2yvL1w1kyIEZWmRrdJQU7A
Washington,"Washington,United States",w+CAIQIFISCfmww-f_5YVUEbrzX2xoeEKU
West Virginia,"West Virginia,United States",w+CAIQIFISCUUJy9SlVEqIEUM6zd5oxwC7
Wisconsin,"Wisconsin,United States",w+CAIQIFISCa_jhJMP9KhSEdZJhvi41dXy
Wyoming,"Wyoming,United States",w+CAIQIFISCWku4Ug04l6HES84fdJ5IrAm